,pH(t-1),DO(t-1),NH3-N(t-1),TOC(t-1),AQI(t)(t-1),CO(t)(t-1),CO_24h(t)(t-1),NO2(t)(t-1),NO2_24h(t)(t-1),O3(t)(t-1),O3_8h(t)(t-1),PM10(t)(t-1),PM10_24h(t)(t-1),PM2.5(t)(t-1),PM2.5_24h(t)(t-1),SO2(t)(t-1),SO2_24h(t)(t-1),AQI(t-1)(t-1),CO(t-1)(t-1),CO_24h(t-1)(t-1),NO2(t-1)(t-1),NO2_24h(t-1)(t-1),O3(t-1)(t-1),O3_8h(t-1)(t-1),PM10(t-1)(t-1),PM10_24h(t-1)(t-1),PM2.5(t-1)(t-1),PM2.5_24h(t-1)(t-1),SO2(t-1)(t-1),SO2_24h(t-1)(t-1),AQI(t-2)(t-1),CO(t-2)(t-1),CO_24h(t-2)(t-1),NO2(t-2)(t-1),NO2_24h(t-2)(t-1),O3(t-2)(t-1),O3_8h(t-2)(t-1),PM10(t-2)(t-1),PM10_24h(t-2)(t-1),PM2.5(t-2)(t-1),PM2.5_24h(t-2)(t-1),SO2(t-2)(t-1),SO2_24h(t-2)(t-1),AQI(t-3)(t-1),CO(t-3)(t-1),CO_24h(t-3)(t-1),NO2(t-3)(t-1),NO2_24h(t-3)(t-1),O3(t-3)(t-1),O3_8h(t-3)(t-1),PM10(t-3)(t-1),PM10_24h(t-3)(t-1),PM2.5(t-3)(t-1),PM2.5_24h(t-3)(t-1),SO2(t-3)(t-1),SO2_24h(t-3)(t-1),EVP(t-1),GST_AVE(t-1),PRE(t-1),PRS_AVE(t-1),RHU_AVE(t-1),SSD(t-1),TEM_AVE(t-1),WIN_AVE(t-1),pH(t),DO(t),NH3-N(t),TOC(t)
2017-06-03 16:00:00,6.39,6.06,0.47,2.89,60.0,1.1,0.4,22.0,36.0,145.0,69.0,69.0,79.0,33.0,44.0,18.0,25.0,54.0,0.8,0.4,23.0,36.0,121.0,54.0,56.0,80.0,38.0,44.0,30.0,25.0,57.0,0.9,0.4,30.0,36.0,92.0,44.0,54.0,80.0,40.0,44.0,30.0,25.0,72.0,0.9,0.4,46.0,36.0,62.0,37.0,93.0,81.0,44.0,44.0,31.0,25.0,24.0,242.0,0.0,8775.0,78.0,95.0,211.0,37.0,6.38,6.1,0.46,3.0
2017-06-03 20:00:00,6.38,6.1,0.46,3.0,79.0,0.7,0.5,7.0,35.0,183.0,143.0,51.0,78.0,45.0,44.0,8.0,23.0,82.0,0.7,0.5,9.0,35.0,185.0,125.0,49.0,80.0,40.0,44.0,9.0,24.0,73.0,0.9,0.5,20.0,36.0,178.0,108.0,82.0,81.0,38.0,44.0,13.0,25.0,73.0,1.3,0.5,19.0,36.0,178.0,91.0,58.0,79.0,44.0,44.0,23.0,25.0,24.0,242.0,0.0,8775.0,78.0,95.0,211.0,37.0,6.38,6.2,0.45,2.49
2017-06-04 00:00:00,6.38,6.2,0.45,2.49,77.0,1.0,0.5,23.0,34.0,140.0,170.0,104.0,79.0,55.0,45.0,13.0,21.0,70.0,0.8,0.5,20.0,34.0,158.0,170.0,83.0,79.0,51.0,45.0,11.0,21.0,73.0,0.4,0.5,17.0,34.0,158.0,166.0,95.0,79.0,49.0,45.0,5.0,22.0,74.0,0.6,0.5,11.0,34.0,179.0,158.0,72.0,78.0,47.0,44.0,7.0,22.0,25.0,232.0,87.0,8788.0,85.0,32.0,206.0,41.0,6.39,6.19,0.45,2.68
2017-06-04 04:00:00,6.39,6.19,0.45,2.68,62.0,0.5,0.6,15.0,30.0,104.0,136.0,67.0,75.0,44.0,45.0,11.0,19.0,64.0,0.6,0.6,16.0,32.0,120.0,146.0,67.0,76.0,46.0,45.0,12.0,20.0,67.0,0.8,0.6,19.0,33.0,121.0,154.0,49.0,77.0,48.0,45.0,13.0,20.0,74.0,1.1,0.6,32.0,33.0,111.0,162.0,92.0,78.0,54.0,45.0,20.0,20.0,25.0,232.0,87.0,8788.0,85.0,32.0,206.0,41.0,6.4,6.11,0.49,2.64
2017-06-04 08:00:00,6.4,6.11,0.49,2.64,48.0,0.4,0.6,9.0,23.0,94.0,97.0,35.0,71.0,33.0,44.0,12.0,17.0,50.0,0.5,0.6,10.0,24.0,96.0,98.0,46.0,74.0,35.0,44.0,12.0,17.0,54.0,0.4,0.6,11.0,26.0,98.0,98.0,46.0,74.0,38.0,44.0,12.0,18.0,58.0,0.3,0.6,12.0,27.0,99.0,99.0,46.0,74.0,41.0,45.0,13.0,18.0,25.0,232.0,87.0,8788.0,85.0,32.0,206.0,41.0,6.49,6.13,0.49,2.99
2017-06-04 12:00:00,6.49,6.13,0.49,2.99,60.0,0.7,0.7,28.0,20.0,95.0,89.0,69.0,68.0,35.0,42.0,20.0,15.0,63.0,0.9,0.7,22.0,20.0,98.0,88.0,75.0,70.0,37.0,42.0,16.0,16.0,62.0,0.8,0.7,34.0,21.0,60.0,86.0,73.0,69.0,37.0,43.0,14.0,16.0,51.0,0.6,0.7,20.0,21.0,69.0,91.0,52.0,69.0,33.0,43.0,11.0,16.0,25.0,232.0,87.0,8788.0,85.0,32.0,206.0,41.0,6.52,6.25,0.5,2.91
2017-06-04 16:00:00,6.52,6.25,0.5,2.91,58.0,1.1,0.7,21.0,19.0,152.0,104.0,66.0,67.0,31.0,41.0,18.0,14.0,54.0,1.0,0.7,23.0,19.0,127.0,97.0,58.0,67.0,31.0,41.0,19.0,14.0,59.0,0.8,0.7,29.0,19.0,115.0,93.0,68.0,67.0,32.0,41.0,20.0,14.0,56.0,0.6,0.7,23.0,19.0,115.0,91.0,62.0,66.0,33.0,41.0,19.0,15.0,25.0,232.0,87.0,8788.0,85.0,32.0,206.0,41.0,6.5,6.18,0.51,2.53
2017-06-04 20:00:00,6.5,6.18,0.51,2.53,66.0,0.9,0.7,26.0,19.0,150.0,145.0,81.0,69.0,31.0,39.0,23.0,15.0,64.0,1.0,0.7,15.0,19.0,171.0,138.0,73.0,68.0,30.0,39.0,19.0,14.0,60.0,1.1,0.7,13.0,18.0,168.0,129.0,65.0,67.0,29.0,40.0,22.0,14.0,58.0,1.0,0.7,17.0,19.0,159.0,115.0,66.0,67.0,29.0,40.0,21.0,14.0,25.0,232.0,87.0,8788.0,85.0,32.0,206.0,41.0,6.48,6.1,0.51,2.68
2017-06-05 00:00:00,6.48,6.1,0.51,2.68,55.0,0.4,0.7,27.0,21.0,87.0,146.0,59.0,67.0,34.0,36.0,8.0,15.0,69.0,0.4,0.7,19.0,21.0,162.0,154.0,88.0,69.0,36.0,37.0,7.0,16.0,71.0,0.4,0.7,27.0,21.0,134.0,150.0,91.0,69.0,34.0,38.0,13.0,16.0,65.0,0.5,0.7,37.0,20.0,139.0,148.0,79.0,69.0,33.0,38.0,16.0,16.0,24.0,203.0,38.0,8790.0,99.0,0.0,177.0,66.0,6.45,6.06,0.53,2.51
2017-06-05 04:00:00,6.45,6.06,0.53,2.51,39.0,0.5,0.6,4.0,20.0,109.0,107.0,33.0,62.0,27.0,33.0,6.0,14.0,40.0,0.4,0.6,7.0,20.0,89.0,112.0,33.0,62.0,28.0,34.0,5.0,14.0,43.0,0.4,0.7,16.0,21.0,68.0,122.0,31.0,64.0,30.0,34.0,8.0,15.0,46.0,0.3,0.7,23.0,21.0,65.0,134.0,37.0,65.0,32.0,35.0,8.0,15.0,24.0,203.0,38.0,8790.0,99.0,0.0,177.0,66.0,6.45,6.03,0.52,2.77
2017-06-05 08:00:00,6.45,6.03,0.52,2.77,33.0,1.1,0.7,14.0,21.0,90.0,88.0,33.0,60.0,22.0,31.0,10.0,15.0,41.0,1.0,0.7,17.0,20.0,91.0,88.0,41.0,60.0,24.0,31.0,15.0,15.0,41.0,1.1,0.7,21.0,20.0,78.0,86.0,41.0,60.0,25.0,32.0,22.0,15.0,36.0,0.9,0.7,12.0,20.0,95.0,95.0,28.0,61.0,25.0,32.0,11.0,14.0,24.0,203.0,38.0,8790.0,99.0,0.0,177.0,66.0,6.42,6.01,0.51,3.06
2017-06-05 12:00:00,6.42,6.01,0.51,3.06,28.0,1.1,0.8,12.0,18.0,89.0,92.0,26.0,53.0,19.0,28.0,8.0,14.0,31.0,1.0,0.8,8.0,19.0,98.0,92.0,26.0,54.0,19.0,29.0,8.0,14.0,31.0,0.9,0.8,11.0,19.0,98.0,91.0,21.0,57.0,19.0,30.0,9.0,14.0,35.0,1.0,0.8,13.0,20.0,93.0,89.0,35.0,59.0,21.0,30.0,10.0,15.0,24.0,203.0,38.0,8790.0,99.0,0.0,177.0,66.0,6.44,6.11,0.49,2.65
2017-06-05 16:00:00,6.44,6.11,0.49,2.65,36.0,0.8,0.8,19.0,17.0,74.0,90.0,36.0,48.0,19.0,26.0,10.0,12.0,29.0,0.7,0.8,15.0,17.0,91.0,92.0,29.0,49.0,19.0,26.0,10.0,12.0,34.0,0.7,0.8,17.0,17.0,89.0,92.0,34.0,51.0,19.0,27.0,8.0,13.0,28.0,0.6,0.8,16.0,18.0,86.0,90.0,26.0,52.0,19.0,28.0,9.0,13.0,24.0,203.0,38.0,8790.0,99.0,0.0,177.0,66.0,6.45,6.19,0.52,2.71
2017-06-05 20:00:00,6.45,6.19,0.52,2.71,33.0,0.7,0.7,19.0,16.0,58.0,76.0,33.0,42.0,19.0,24.0,11.0,10.0,26.0,0.6,0.7,9.0,17.0,73.0,80.0,39.0,44.0,18.0,25.0,11.0,11.0,26.0,0.7,0.7,11.0,17.0,73.0,84.0,39.0,46.0,18.0,25.0,10.0,11.0,39.0,0.9,0.8,18.0,17.0,68.0,87.0,39.0,47.0,19.0,26.0,12.0,12.0,24.0,203.0,38.0,8790.0,99.0,0.0,177.0,66.0,6.46,6.24,0.76,2.67
2017-06-06 00:00:00,6.46,6.24,0.76,2.67,28.0,0.9,0.8,30.0,15.0,40.0,62.0,27.0,33.0,19.0,22.0,8.0,10.0,38.0,0.9,0.8,20.0,15.0,54.0,66.0,38.0,34.0,19.0,22.0,8.0,10.0,26.0,0.8,0.7,19.0,15.0,65.0,71.0,33.0,37.0,18.0,23.0,8.0,10.0,28.0,0.7,0.7,15.0,15.0,63.0,74.0,33.0,40.0,19.0,24.0,10.0,10.0,15.0,201.0,514.0,8780.0,100.0,0.0,187.0,62.0,6.47,6.32,0.86,2.46
2017-06-06 04:00:00,6.47,6.32,0.86,2.46,29.0,0.6,0.8,16.0,16.0,50.0,54.0,20.0,31.0,20.0,20.0,8.0,10.0,28.0,0.7,0.8,18.0,15.0,49.0,55.0,20.0,31.0,19.0,20.0,10.0,10.0,26.0,0.7,0.8,15.0,15.0,54.0,58.0,23.0,32.0,18.0,20.0,9.0,10.0,26.0,0.7,0.8,16.0,15.0,55.0,60.0,27.0,32.0,18.0,21.0,9.0,10.0,15.0,201.0,514.0,8780.0,100.0,0.0,187.0,62.0,6.47,6.38,0.89,2.32
2017-06-06 08:00:00,6.47,6.38,0.89,2.32,25.0,0.8,0.8,14.0,16.0,46.0,44.0,25.0,29.0,17.0,19.0,12.0,10.0,26.0,0.8,0.8,15.0,16.0,39.0,43.0,25.0,30.0,18.0,19.0,10.0,9.0,28.0,0.8,0.8,17.0,16.0,42.0,45.0,25.0,30.0,19.0,19.0,9.0,10.0,29.0,0.6,0.8,16.0,16.0,48.0,48.0,29.0,31.0,20.0,20.0,11.0,10.0,15.0,201.0,514.0,8780.0,100.0,0.0,187.0,62.0,6.48,6.42,0.91,2.35
2017-06-06 12:00:00,6.48,6.42,0.91,2.35,29.0,0.7,0.7,25.0,17.0,39.0,43.0,28.0,29.0,20.0,19.0,10.0,10.0,30.0,0.8,0.7,18.0,17.0,43.0,44.0,26.0,28.0,21.0,19.0,11.0,10.0,29.0,0.7,0.8,15.0,16.0,53.0,44.0,23.0,28.0,20.0,19.0,11.0,10.0,26.0,0.7,0.8,23.0,16.0,34.0,42.0,18.0,28.0,18.0,19.0,11.0,10.0,15.0,201.0,514.0,8780.0,100.0,0.0,187.0,62.0,6.49,6.41,0.87,2.23
2017-06-06 16:00:00,6.49,6.41,0.87,2.23,38.0,0.8,0.7,21.0,18.0,69.0,53.0,38.0,29.0,20.0,19.0,18.0,11.0,32.0,0.6,0.7,20.0,18.0,61.0,50.0,32.0,28.0,19.0,19.0,15.0,10.0,29.0,0.7,0.7,18.0,17.0,64.0,48.0,29.0,28.0,19.0,19.0,15.0,10.0,28.0,0.7,0.7,16.0,17.0,62.0,45.0,28.0,29.0,19.0,19.0,13.0,10.0,15.0,201.0,514.0,8780.0,100.0,0.0,187.0,62.0,6.49,6.43,0.55,2.13
2017-06-06 20:00:00,6.49,6.43,0.55,2.13,44.0,0.7,0.7,16.0,18.0,139.0,92.0,38.0,30.0,20.0,19.0,18.0,12.0,40.0,0.8,0.7,20.0,18.0,127.0,80.0,40.0,29.0,21.0,19.0,18.0,12.0,38.0,0.7,0.7,18.0,18.0,119.0,69.0,36.0,29.0,21.0,19.0,20.0,12.0,32.0,0.7,0.7,16.0,18.0,95.0,61.0,32.0,28.0,20.0,19.0,19.0,11.0,15.0,201.0,514.0,8780.0,100.0,0.0,187.0,62.0,6.47,6.28,0.55,2.84
2017-06-07 00:00:00,6.47,6.28,0.55,2.84,54.0,0.8,0.7,30.0,18.0,144.0,127.0,57.0,33.0,20.0,19.0,18.0,13.0,54.0,0.8,0.7,26.0,18.0,118.0,118.0,58.0,32.0,19.0,19.0,15.0,13.0,44.0,0.7,0.7,18.0,18.0,133.0,110.0,44.0,31.0,18.0,19.0,13.0,13.0,44.0,0.6,0.7,14.0,18.0,140.0,102.0,38.0,30.0,19.0,19.0,17.0,12.0,20.0,188.0,30.0,8823.0,88.0,0.0,151.0,23.0,6.47,6.24,0.62,3.42
2017-06-07 04:00:00,6.47,6.24,0.62,3.42,63.0,0.7,0.7,55.0,23.0,55.0,116.0,76.0,41.0,25.0,20.0,24.0,16.0,59.0,0.8,0.7,63.0,22.0,73.0,126.0,68.0,39.0,24.0,20.0,26.0,15.0,52.0,0.9,0.7,31.0,20.0,121.0,133.0,53.0,36.0,22.0,20.0,28.0,15.0,58.0,1.0,0.7,31.0,19.0,142.0,133.0,66.0,35.0,22.0,19.0,22.0,14.0,20.0,188.0,30.0,8823.0,88.0,0.0,151.0,23.0,6.44,6.16,0.6,3.46
2017-06-07 08:00:00,6.44,6.16,0.6,3.46,55.0,0.7,0.8,28.0,27.0,72.0,55.0,59.0,44.0,24.0,21.0,37.0,19.0,36.0,0.7,0.8,20.0,26.0,73.0,50.0,36.0,43.0,22.0,20.0,25.0,18.0,51.0,0.8,0.8,37.0,26.0,38.0,38.0,52.0,44.0,22.0,20.0,18.0,17.0,59.0,0.9,0.8,58.0,25.0,38.0,38.0,68.0,43.0,24.0,20.0,26.0,17.0,20.0,188.0,30.0,8823.0,88.0,0.0,151.0,23.0,6.47,6.18,0.59,3.31
2017-06-07 12:00:00,6.47,6.18,0.59,3.31,52.0,0.7,0.7,29.0,28.0,65.0,56.0,53.0,50.0,24.0,21.0,44.0,23.0,57.0,0.8,0.7,29.0,28.0,54.0,55.0,64.0,49.0,24.0,21.0,41.0,22.0,53.0,0.7,0.7,34.0,28.0,50.0,55.0,56.0,48.0,23.0,21.0,33.0,21.0,58.0,0.7,0.8,32.0,27.0,61.0,56.0,66.0,46.0,23.0,21.0,35.0,20.0,20.0,188.0,30.0,8823.0,88.0,0.0,151.0,23.0,6.46,6.22,0.57,2.65
2017-06-07 16:00:00,6.46,6.22,0.57,2.65,46.0,0.7,0.8,24.0,31.0,146.0,81.0,42.0,53.0,22.0,22.0,29.0,27.0,55.0,0.9,0.8,40.0,31.0,114.0,72.0,59.0,53.0,23.0,22.0,40.0,26.0,55.0,0.7,0.8,48.0,30.0,79.0,67.0,60.0,52.0,24.0,22.0,38.0,25.0,54.0,0.7,0.8,34.0,29.0,81.0,62.0,57.0,51.0,23.0,22.0,38.0,24.0,20.0,188.0,30.0,8823.0,88.0,0.0,151.0,23.0,6.46,6.22,0.57,2.65
2017-06-07 20:00:00,6.46,6.22,0.57,2.65,99.0,0.3,0.7,22.0,32.0,199.0,140.0,69.0,57.0,22.0,22.0,28.0,27.0,72.0,0.2,0.7,23.0,31.0,177.0,123.0,61.0,56.0,20.0,22.0,16.0,26.0,50.0,0.2,0.7,16.0,31.0,160.0,108.0,42.0,55.0,19.0,22.0,13.0,26.0,54.0,0.3,0.7,15.0,31.0,163.0,94.0,42.0,54.0,21.0,22.0,18.0,27.0,20.0,188.0,30.0,8823.0,88.0,0.0,151.0,23.0,6.46,6.22,0.57,2.65
2017-06-08 00:00:00,6.46,6.22,0.57,2.65,62.0,0.3,0.6,25.0,31.0,128.0,167.0,74.0,60.0,32.0,24.0,12.0,27.0,58.0,0.3,0.6,16.0,31.0,151.0,169.0,66.0,59.0,30.0,23.0,14.0,27.0,69.0,0.3,0.6,10.0,31.0,175.0,164.0,53.0,59.0,28.0,23.0,14.0,27.0,75.0,0.3,0.7,14.0,32.0,180.0,152.0,65.0,59.0,25.0,22.0,18.0,27.0,25.0,226.0,0.0,8850.0,68.0,92.0,188.0,15.0,6.46,6.22,0.57,2.65
2017-06-08 04:00:00,6.46,6.22,0.57,2.65,53.0,0.9,0.6,58.0,30.0,25.0,113.0,55.0,60.0,32.0,25.0,14.0,25.0,55.0,1.0,0.5,31.0,30.0,67.0,134.0,59.0,61.0,32.0,25.0,16.0,25.0,67.0,1.0,0.5,42.0,31.0,72.0,148.0,83.0,62.0,32.0,24.0,12.0,25.0,59.0,0.4,0.5,30.0,31.0,104.0,159.0,67.0,60.0,32.0,24.0,11.0,26.0,25.0,226.0,0.0,8850.0,68.0,92.0,188.0,15.0,6.42,6.01,0.93,3.73
2017-06-08 08:00:00,6.42,6.01,0.93,3.73,51.0,1.1,0.6,47.0,30.0,15.0,47.0,52.0,58.0,28.0,26.0,12.0,22.0,47.0,0.9,0.6,43.0,29.0,37.0,58.0,47.0,58.0,28.0,26.0,14.0,23.0,42.0,0.8,0.6,20.0,28.0,70.0,68.0,37.0,58.0,29.0,26.0,13.0,24.0,43.0,0.8,0.5,26.0,28.0,67.0,67.0,34.0,59.0,30.0,25.0,12.0,24.0,25.0,226.0,0.0,8850.0,68.0,92.0,188.0,15.0,6.44,6.12,0.91,3.07
2017-06-08 12:00:00,6.44,6.12,0.91,3.07,50.0,1.1,0.6,28.0,29.0,55.0,46.0,50.0,57.0,26.0,27.0,30.0,20.0,42.0,1.0,0.6,21.0,29.0,62.0,45.0,42.0,57.0,27.0,27.0,24.0,20.0,49.0,1.1,0.6,35.0,30.0,32.0,42.0,49.0,58.0,29.0,27.0,17.0,21.0,57.0,1.0,0.6,37.0,30.0,30.0,44.0,64.0,58.0,29.0,26.0,20.0,22.0,25.0,226.0,0.0,8850.0,68.0,92.0,188.0,15.0,6.43,6.15,0.01,2.65
2017-06-08 16:00:00,6.43,6.15,0.01,2.65,74.0,0.9,0.8,31.0,28.0,179.0,84.0,71.0,59.0,30.0,28.0,22.0,17.0,69.0,1.3,0.8,42.0,28.0,123.0,64.0,88.0,58.0,29.0,27.0,22.0,18.0,54.0,2.1,0.7,28.0,28.0,106.0,53.0,57.0,56.0,27.0,27.0,23.0,18.0,54.0,1.8,0.7,24.0,29.0,87.0,48.0,57.0,57.0,25.0,27.0,24.0,19.0,25.0,226.0,0.0,8850.0,68.0,92.0,188.0,15.0,6.41,6.06,0.01,3.0
2017-06-08 20:00:00,6.41,6.06,0.01,3.0,48.0,0.4,0.8,13.0,28.0,135.0,145.0,48.0,57.0,27.0,29.0,12.0,17.0,47.0,0.5,0.8,9.0,28.0,150.0,135.0,39.0,58.0,27.0,28.0,11.0,17.0,72.0,0.6,0.8,17.0,29.0,177.0,124.0,39.0,58.0,27.0,28.0,15.0,17.0,102.0,0.7,0.8,21.0,29.0,204.0,106.0,53.0,59.0,28.0,28.0,16.0,17.0,25.0,226.0,0.0,8850.0,68.0,92.0,188.0,15.0,6.4,5.97,0.03,3.3
